Epoch 1, Loss: 2.026595232963562
Epoch 2, Loss: 1.7442592775821686
Epoch 3, Loss: 1.5683049426078797
Epoch 4, Loss: 1.4619856717586517
Epoch 5, Loss: 1.3974757752418518
Epoch 6, Loss: 1.3344231741428376
Epoch 7, Loss: 1.2879310722351074
Epoch 8, Loss: 1.2562394758462907
Epoch 9, Loss: 1.2221975905895233
Epoch 10, Loss: 1.1924082406759262
Epoch 11, Loss: 1.1574610214233398
Epoch 12, Loss: 1.137966722369194
Epoch 13, Loss: 1.111149575948715
Epoch 14, Loss: 1.0932610552310944
Epoch 15, Loss: 1.0737379112243652
Epoch 16, Loss: 1.0437810965776444
Epoch 17, Loss: 1.0296296063661576
Epoch 18, Loss: 1.014925468802452
Epoch 19, Loss: 0.9922588310241699
Epoch 20, Loss: 0.9742435603141785
Epoch 21, Loss: 0.9493123326301575
Epoch 22, Loss: 0.9347626280784607
Epoch 23, Loss: 0.9129124041795731
Epoch 24, Loss: 0.9034717501401901
Epoch 25, Loss: 0.8876322705745697
Epoch 26, Loss: 0.863189943432808
Epoch 27, Loss: 0.8477840133905411
Epoch 28, Loss: 0.8365788472890854
Epoch 29, Loss: 0.8220324767827988
Epoch 30, Loss: 0.8122170388698577
Epoch 31, Loss: 0.7850708912014961
Epoch 32, Loss: 0.7734382729530335
Epoch 33, Loss: 0.7616245789527893
Epoch 34, Loss: 0.7486659745573998
Epoch 35, Loss: 0.742194753408432
Epoch 36, Loss: 0.7153374795913696
Epoch 37, Loss: 0.707271268427372
Epoch 38, Loss: 0.6994503028392792
Epoch 39, Loss: 0.6887237418293953
Epoch 40, Loss: 0.6741888505220414
Epoch 41, Loss: 0.6525368299484253
Epoch 42, Loss: 0.6441803328990936
Epoch 43, Loss: 0.6335273687243461
Epoch 44, Loss: 0.6257700896263123
Epoch 45, Loss: 0.6090084761381149
Epoch 46, Loss: 0.5963485349416733
Epoch 47, Loss: 0.585260002732277
Epoch 48, Loss: 0.5815256016254425
Epoch 49, Loss: 0.56977286952734
Epoch 50, Loss: 0.5580311813354493
Epoch 51, Loss: 0.542161640048027
Epoch 52, Loss: 0.5265701900720596
Epoch 53, Loss: 0.5272343538403511
Epoch 54, Loss: 0.5201825464963913
Epoch 55, Loss: 0.5095175127387047
Epoch 56, Loss: 0.48673156163096426
Epoch 57, Loss: 0.4883368271589279
Epoch 58, Loss: 0.47619950342178347
Epoch 59, Loss: 0.46854609885811804
Epoch 60, Loss: 0.46462465423345567
Epoch 61, Loss: 0.44489859947562216
Epoch 62, Loss: 0.43955909729003906
Epoch 63, Loss: 0.4365191297233105
Epoch 64, Loss: 0.4298024190366268
Epoch 65, Loss: 0.4236258193850517
Epoch 66, Loss: 0.40778839686512947
Epoch 67, Loss: 0.3987350881993771
Epoch 68, Loss: 0.3969491258561611
Epoch 69, Loss: 0.3914580709040165
Epoch 70, Loss: 0.3844878191947937
Epoch 71, Loss: 0.3692170403301716
Epoch 72, Loss: 0.36657675847411153
Epoch 73, Loss: 0.36149293982982633
Epoch 74, Loss: 0.3572391343712807
Epoch 75, Loss: 0.34753959023952485
Epoch 76, Loss: 0.33454605025053025
Epoch 77, Loss: 0.3331913212239742
Epoch 78, Loss: 0.3270920347869396
Epoch 79, Loss: 0.3265108763575554
Epoch 80, Loss: 0.31489961647987363
Epoch 81, Loss: 0.3034167568981648
Epoch 82, Loss: 0.3016545090675354
Epoch 83, Loss: 0.2964316744506359
Epoch 84, Loss: 0.2954167014956474
Epoch 85, Loss: 0.29366373750567437
Epoch 86, Loss: 0.28135583351552484
Epoch 87, Loss: 0.2700508844703436
Epoch 88, Loss: 0.27200140711665155
Epoch 89, Loss: 0.26635506738722325
Epoch 90, Loss: 0.2655603672713041
Epoch 91, Loss: 0.25181397868692873
Epoch 92, Loss: 0.24768077608942984
Epoch 93, Loss: 0.2469271502941847
Epoch 94, Loss: 0.24850365410745143
Epoch 95, Loss: 0.2453076509013772
Epoch 96, Loss: 0.2341532035470009
Epoch 97, Loss: 0.2258418247848749
Epoch 98, Loss: 0.22819551806151867
Epoch 99, Loss: 0.22442599314451217
Epoch 100, Loss: 0.21974056304991246
